Occupation ,Total Employed,Women,White,Black,Asian,Hispanic
"Butchers and other meat, poultry, and fish processing workers",269,24.3,68.5,19.8,7.2,35.3
"Food and tobacco roasting, baking, and drying machine operators and tenders",12,-,-,-,-,-
Food batchmakers,89,58.1,77.2,12.4,6.6,26.2
Food cooking machine operators and tenders,15,-,-,-,-,-
"Food processing workers, all other",175,32.5,62.8,24.1,7,37.3
Computer control programmers and operators,99,9.8,82.8,9.8,5.6,10.7
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",19,-,-,-,-,-
"Forging machine setters, operators, and tenders, metal and plastic",8,-,-,-,-,-
"Rolling machine setters, operators, and tenders, metal and plastic",8,-,-,-,-,-
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",80,11,82.6,10,4.7,12.5
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",4,-,-,-,-,-
"Grinding, lapping, polishing, and buffing machine tool setters, operators,",38,-,-,-,-,-
"and tenders, metal and plastic",,,,,,
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",14,-,-,-,-,-
"Milling and planing machine setters, operators, and tenders, metal and plastic",5,-,-,-,-,-
Machinists,366,5,86.1,4.4,6.3,13.9
"Metal furnace operators, tenders, pourers, and casters",19,-,-,-,-,-
"Model makers and patternmakers, metal and plastic",5,-,-,-,-,-
"Molders and molding machine setters, operators, and tenders, metal and plastic",45,-,-,-,-,-
"Multiple machine tool setters, operators, and tenders, metal and plastic",5,-,-,-,-,-
Tool and die makers,62,3.2,97.6,1.1,0.7,6.9
"Welding, soldering, and brazing workers",600,4.5,87.4,7.5,1.1,24.3
"Heat treating equipment setters, operators, and tenders, metal and plastic",3,-,-,-,-,-
"Layout workers, metal and plastic",12,-,-,-,-,-
"Plating and coating machine setters, operators, and tenders, metal and plastic",17,-,-,-,-,-
"Tool grinders, filers, and sharpeners",6,-,-,-,-,-
"Metal workers and plastic workers, all other",388,20.5,71.1,14.9,9.5,23.1
Prepress technicians and workers,24,-,-,-,-,-
Printing press operators,173,17.7,85,6.6,5.8,22.2
Print binding and finishing workers,11,-,-,-,-,-
Laundry and dry-cleaning workers,151,68,66.1,18.5,8,38.7
"Pressers, textile, garment, and related materials",30,-,-,-,-,-
Sewing machine operators,197,73.2,72,8,16,42.2
Shoe and leather workers and repairers,5,-,-,-,-,-
Shoe machine operators and tenders,5,-,-,-,-,-
"Tailors, dressmakers, and sewers",77,75.9,79.1,9.5,8.9,29.6
Textile bleaching and dyeing machine operators and tenders,1,-,-,-,-,-
"Textile cutting machine setters, operators, and tenders",8,-,-,-,-,-
"Textile knitting and weaving machine setters, operators, and tenders",19,-,-,-,-,-
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",16,-,-,-,-,-
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,-,-,-,-,-
Fabric and apparel patternmakers,3,-,-,-,-,-
Upholsterers,31,-,-,-,-,-
"Textile, apparel, and furnishings workers, all other",18,-,-,-,-,-
Cabinetmakers and bench carpenters,49,-,-,-,-,-
Furniture finishers,15,-,-,-,-,-
"Model makers and patternmakers, wood",1,-,-,-,-,-
"Sawing machine setters, operators, and tenders, wood",27,-,-,-,-,-
"Woodworking machine setters, operators, and tenders, except sawing",19,-,-,-,-,-
"Woodworkers, all other",28,-,-,-,-,-
"Power plant operators, distributors, and dispatchers",38,-,-,-,-,-
Stationary engineers and boiler operators,76,3.3,84.8,8.2,5.5,13
Water and wastewater treatment plant and system operators,107,3.8,90.2,6.3,1,11.5
Miscellaneous plant and system operators,42,-,-,-,-,-
"Chemical processing machine setters, operators, and tenders",55,5.7,79.3,15.7,3,15.8
"Crushing, grinding, polishing, mixing, and blending workers",72,14,75.4,15.3,2.2,15
Cutting workers,62,25.3,78.7,12.4,5.2,30.1
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",21,-,-,-,-,-
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,-,-,-,-,-
"Inspectors, testers, sorters, samplers, and weighers",793,37.9,74.7,13.6,8.8,18.9
Jewelers and precious stone and metal workers,43,-,-,-,-,-
"Medical, dental, and ophthalmic laboratory technicians",70,63.1,73.3,14.6,9.7,14.4
Packaging and filling machine operators and tenders,292,52.8,68.5,17.6,9.2,41.8
Painting workers,157,12.6,82.1,9.6,2.5,32.9
Photographic process workers and processing machine operators,31,-,-,-,-,-
Semiconductor processors,3,-,-,-,-,-
Adhesive bonding machine operators and tenders,6,-,-,-,-,-
"Cleaning, washing, and metal pickling equipment operators and tenders",11,-,-,-,-,-
Cooling and freezing equipment operators and tenders,3,-,-,-,-,-
Etchers and engravers,11,-,-,-,-,-
"Molders, shapers, and casters, except metal and plastic",35,-,-,-,-,-
"Paper goods machine setters, operators, and tenders",29,-,-,-,-,-
Tire builders,10,-,-,-,-,-
Helpers--production workers,50,37.1,73.5,8.8,11.9,31.2
"Production workers, all other",995,29.5,76.5,15.7,4.4,25.4
Transportation and material moving occupations,"9,445",17.3,71.9,19.5,4.5,21.7
Supervisors of transportation and material moving workers,205,19.5,74,18.4,4,17.4
Aircraft pilots and flight engineers,120,6.2,94.9,1.8,1.5,8
Air traffic controllers and airfield operations specialists,17,-,-,-,-,-
Flight attendants,98,72.9,71.6,15.1,10.1,18.4
"Ambulance drivers and attendants, except emergency medical technicians",11,-,-,-,-,-
Bus drivers,578,47.8,65.9,26.7,4.8,12.6
Driver/sales workers and truck drivers,"3,506",6.2,76.3,16.6,3.2,20.8
Taxi drivers and chauffeurs,674,18.9,55,28.4,12.8,17
"Motor vehicle operators, all other",76,17.5,72.6,19.4,4.8,14.7
Locomotive engineers and operators,42,-,-,-,-,-
"Railroad brake, signal, and switch operators",4,-,-,-,-,-
Railroad conductors and yardmasters,50,5.2,73.8,17.6,5.3,8.4
"Subway, streetcar, and other rail transportation workers",15,-,-,-,-,-
Sailors and marine oilers,19,-,-,-,-,-
Ship and boat captains and operators,35,-,-,-,-,-
Ship engineers,2,-,-,-,-,-
Bridge and lock tenders,5,-,-,-,-,-
Parking lot attendants,95,16.7,67.4,23.3,6.7,38.4
Automotive and watercraft service attendants,94,8.8,73.6,9.6,8.9,21.1
Transportation inspectors,41,-,-,-,-,-
"Transportation attendants, except flight attendants",35,-,-,-,-,-
Other transportation workers,24,-,-,-,-,-
Conveyor operators and tenders,1,-,-,-,-,-
Crane and tower operators,53,4.1,76.8,20.9,0.1,10.5
"Dredge, excavating, and loading machine operators",30,-,-,-,-,-
Hoist and winch operators,7,-,-,-,-,-
Industrial truck and tractor operators,611,8.2,69.4,25,1.8,25.7
Cleaners of vehicles and equipment,331,14,69.7,20.7,3,33.3
"Laborers and freight, stock, and material movers, hand","1,930",19.9,70.2,20.2,3.8,22.2
Machine feeders and offbearers,31,-,-,-,-,-
"Packers and packagers, hand",539,52.7,69.9,18.9,8.4,41.8
Pumping station operators,21,-,-,-,-,-
Refuse and recyclable material collectors,94,11.7,70.2,26.8,2.1,24.2
Mine shuttle car operators,0,-,-,-,-,-
"Tank car, truck, and ship loaders",6,-,-,-,-,-
"Material moving workers, all other",40,-,-,-,-,-
